id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36525017,Excelente departamento amueblado 2 recamaras,30805610,Hector,,Miguel Hidalgo,19.44136,-99.1835,Entire home/apt,895,3,3,2019-08-21,1.41,1,72
36525214,Excellent private room for executives in Roma Nte,180712915,Pepo,,Cuauhtémoc,19.41733,-99.15656,Private room,544,5,0,,,1,90
36525493,Pent House Espectacular En Reforma...,274596202,Marta,,Cuauhtémoc,19.43413,-99.15541,Entire home/apt,1108,2,9,2019-09-21,4.82,1,62
36525499,BEST place to stay in Condesa - Roma / Mexico City,274609197,Jp,,Cuauhtémoc,19.41484,-99.17128,Entire home/apt,1575,2,8,2019-09-09,3.64,3,0
36525942,Hermosa casa de descanso en Tequisquiapan,148279543,Isabel,,Iztapalapa,19.33903,-99.06304,Entire home/apt,3598,2,0,,,2,88
36526997,APARTMENT NEAR AIRPORT / Depto. cerca Aeropuerto,152385749,Charly,,Iztacalco,19.40984,-99.06442,Entire home/apt,583,2,0,,,2,290
36527769,Lizbeth apartment,53725239,Hhhh,,Tlalpan,19.28034,-99.19394,Private room,389,1,0,,,1,89
36530201,¡Encantadora estancia privada en la Roma!,178645074,Careli,,Cuauhtémoc,19.4068,-99.16426,Entire home/apt,350,1,20,2019-09-18,8.33,1,144
36530491,Departamento muy iluminado en edificio tranquilo,274648024,Fernando,,Benito Juárez,19.37905,-99.16119,Private room,350,1,4,2019-08-18,1.90,1,0
36530637,Hermoso depto en San Pedro de los Pinos,263536591,Karen,,Álvaro Obregón,19.38938,-99.19013,Entire home/apt,544,1,1,2019-09-09,1,1,159
36543612,Rento Semana Gran Mayan Vacaciones Perfectas.,92431725,Manuel,,Benito Juárez,19.39345,-99.1611,Entire home/apt,4278,4,0,,,1,179
36547630,Room queen bed in Heart of Polanco,5220231,Martin,,Miguel Hidalgo,19.43573,-99.18886,Private room,1206,2,0,,,3,179
36548354,Stylish Apartment in the Hottest Part of Condesa,2680212,Vanessa,,Cuauhtémoc,19.41389,-99.17057,Entire home/apt,1342,3,3,2019-09-02,2.31,3,115
36549216,CUARTO AMUEBLADO EXCLUSIVAMENTE SEÑORITAS,261999811,Christian,,Gustavo A. Madero,19.49475,-99.13867,Private room,2800,30,0,,,1,365
36549912,Departamento cerca UNAM y zona de hospitales hab 2,35913205,Adri,,Tlalpan,19.28781,-99.17081,Private room,350,1,5,2019-09-21,2.31,2,306
36550303,Habitación cama KingSize terraza y mini gimnasio,229935626,David,,Iztapalapa,19.32114,-99.09916,Private room,194,1,3,2019-09-16,3,1,36
36550322,Suite con entrada independiente en el bosque,132859197,Brenda,,Álvaro Obregón,19.32373,-99.26346,Entire home/apt,253,1,1,2019-07-18,0.43,2,180
36552505,Un lugar especial en la Ciudad de México.,174442457,Patricia María,,Cuauhtémoc,19.42784,-99.15477,Entire home/apt,1497,1,0,,,1,63
36553196,Precioso departamento en La Nápoles,17843455,Maya,,Benito Juárez,19.38453,-99.17819,Entire home/apt,525,7,0,,,2,365
36556390,Best Location in great space! Near WTC in CDMX,6582827,Miguel,,Benito Juárez,19.40007,-99.16295,Private room,350,2,3,2019-09-02,1.41,1,173
36556536,"Great Location, Amazing View, Charming Room",14989495,Diego,,Cuauhtémoc,19.41908,-99.16761,Private room,350,2,0,,,1,0
36557028,Hermoso departamento en Coyoacán!,36097703,Gabriela,,Coyoacán,19.34331,-99.15112,Entire home/apt,1206,1,0,,,1,174
36557978,Comodo cuarto para 2 personas,216966587,Edgar,,Cuauhtémoc,19.46151,-99.1423,Private room,214,1,0,,,4,179
36558275,"Cuarto para 3 personas, buena ubicación",216966587,Edgar,,Cuauhtémoc,19.46229,-99.14222,Private room,253,1,1,2019-09-03,1,4,179
36558985,Recámara en depa acogedor,118836296,Carlos Robertho,,Miguel Hidalgo,19.45507,-99.21387,Private room,350,1,2,2019-08-09,1.13,1,177
36559440,A place with personality,96057196,Miguel,,Miguel Hidalgo,19.4391,-99.1842,Entire home/apt,1206,2,0,,,1,147
36560021,"Condesa Roma hermoso Departamento,  Parque Mexico",53879971,Irene,,Cuauhtémoc,19.4111,-99.16619,Entire home/apt,739,2,0,,,3,0
36560374,Beautiful apartment with amazing view near Reforma,274839103,Guadalupe,,Cuauhtémoc,19.43048,-99.16241,Entire home/apt,1245,2,2,2019-09-20,1.67,1,153
36560458,Nice Downtown Loft by Alameda,28407212,Ricardo,,Cuauhtémoc,19.43245,-99.14409,Entire home/apt,817,3,3,2019-09-21,1.36,3,359
36560733,Villa descanso,253383775,Franklin,,Venustiano Carranza,19.4525,-99.11866,Private room,389,1,1,2019-07-13,0.41,2,355
36561064,"Departamento excelente ubicación, 100% equipado",129751354,Karina,,Benito Juárez,19.39159,-99.17936,Entire home/apt,1303,2,0,,,2,179
36565125,Cuarto privado en preciosa casa por Torre Manacar,200169204,Rise And Shine,,Benito Juárez,19.37061,-99.17739,Private room,506,2,0,,,8,365
36565239,APPARTMENT MEXICO CITY,244139010,Alberto,,Cuauhtémoc,19.43304,-99.13222,Entire home/apt,720,2,0,,,2,90
36565536,Cuarto económico en la Escandón,73200246,Luis Enrique,,Miguel Hidalgo,19.4004,-99.18392,Private room,253,1,0,,,1,29
36565865,Depa de Lujo con ubicación privilegiada LGBT+,92359446,Esteban,,Miguel Hidalgo,19.44006,-99.20628,Private room,972,1,11,2019-09-15,4.40,1,358
36566756,habitación amplia con hermosa vista,66365504,Diego,,Benito Juárez,19.3878,-99.15178,Private room,253,2,1,2019-07-19,0.44,1,365
36567432,Cuarto en casa de 3 habitaciones,101127040,Tania,,Benito Juárez,19.37139,-99.1884,Private room,194,30,0,,,2,365
36568578,"WTC México Departamento,Colonia Napoles para grupo",102255150,Marco Antonio,,Benito Juárez,19.39153,-99.17645,Entire home/apt,1206,2,7,2019-09-22,3.33,3,337
36572105,Habitación privada muy cerca de zona rosa.,26079924,Miri,,Cuauhtémoc,19.42844,-99.15495,Private room,369,1,0,,,2,113
36578678,优惠特殊客人定房专用negotiated price for special customers,134941862,海景别墅洋房,,Cuauhtémoc,19.43254,-99.13426,Entire home/apt,13943,1,0,,,1,365
36583849,Beautiful and bright private bedroom in La Condesa,245858802,Natalia,,Cuauhtémoc,19.4145,-99.16771,Private room,564,2,3,2019-08-21,1.50,1,0
36586279,Disfruta de un lugar tranquilo con ubicación.,156370168,Lorelai,,Miguel Hidalgo,19.4405,-99.18281,Entire home/apt,1556,2,1,2019-08-02,0.56,2,88
36588824,"Casa QUETZALCOATL, deja tus cosas seguras y viaja.",202892955,Axayacatl,,Benito Juárez,19.37129,-99.14824,Private room,253,2,0,,,1,336
36590802,Cómoda habitación privada en Mixcoac.,17486768,Carlos,,Benito Juárez,19.37039,-99.19063,Private room,311,2,0,,,2,45
36591779,Confortable apartment in the heart of Santa Fe,100734134,Alan,,Álvaro Obregón,19.36503,-99.26375,Entire home/apt,1420,1,1,2019-07-18,0.43,1,67
36592612,Bonita habitación privada en Insurgentes Sur,200169204,Rise And Shine,,Benito Juárez,19.36914,-99.17875,Private room,797,2,0,,,8,365
36594314,Cuarto Privado con Balcón en la Colonia Roma,20043148,Cesar,,Cuauhtémoc,19.41323,-99.15909,Private room,1595,2,0,,,1,180
36594802,Disfruta la calidez y ubicación.,156370168,Lorelai,,Miguel Hidalgo,19.44227,-99.18622,Entire home/apt,1458,2,0,,,2,88
36595008,Excelente ubicación y acceso a transporte público,146390493,Zoe,,Cuauhtémoc,19.44692,-99.1536,Entire home/apt,408,1,4,2019-08-29,1.85,1,167
36595755,“CARSO-CHIC-CONFORT-WIHT POOL  & GYM- 6 PEOPLE”,23387759,Aury,,Miguel Hidalgo,19.44205,-99.2011,Entire home/apt,2509,7,0,,,2,364
36596686,Luxury + Locacion = The Queen’s Room,261857354,Mr. W,,Cuauhtémoc,19.41367,-99.16712,Entire home/apt,5834,1,1,2019-07-19,0.44,12,354
36596868,La casa de los que se Acomoden,275082834,Ivana,,Tlalpan,19.2749,-99.18576,Private room,233,5,0,,,1,365
36597500,Loft a una cuadra de Bellas Artes,28407212,Ricardo,,Cuauhtémoc,19.42958,-99.13839,Entire home/apt,953,3,0,,,3,292
36597527,Downtown Loft with excellent location,28407212,Ricardo,,Cuauhtémoc,19.4307,-99.13649,Entire home/apt,1731,3,0,,,3,235
36598744,Antigua,26000621,Teru,,Cuajimalpa de Morelos,19.36364,-99.27443,Entire home/apt,992,30,0,,,1,154
36600012,Bonita habitación para tus vacaciones en cdmx,43954370,Alejandra,,Azcapotzalco,19.46827,-99.16761,Private room,272,3,0,,,1,365
36600569,Tamaulipas,22931264,Chio & Alejandro,,Cuauhtémoc,19.41332,-99.17246,Entire home/apt,1361,2,4,2019-09-09,2.73,13,353
36601206,Luminoso apartamento  en CONDESA!!!,235268181,Melanie Agustina,,Cuauhtémoc,19.4099,-99.17397,Entire home/apt,1575,2,4,2019-08-20,2.03,1,201
36601506,Atractivo hostal con temática japonesa-mexicana,175074567,Gonzalo Toyohisa,,Cuauhtémoc,19.43834,-99.15268,Private room,292,2,0,,,1,365
36602169,1 bedroom Apartment in Polanco,227002676,Oasis Collections,,Miguel Hidalgo,19.44356,-99.20526,Entire home/apt,2139,3,0,,,9,267
36602176,2 Bedroom Apartment in Polanco,227002676,Oasis Collections,,Miguel Hidalgo,19.44317,-99.20446,Entire home/apt,2334,3,0,,,9,207
36602393,Casa comoda para descansar,178628799,Alan,,Álvaro Obregón,19.36503,-99.19615,Entire home/apt,408,2,0,,,1,90
36602400,2 Bedroom Apartment in La Roma,227002676,Oasis Collections,,Cuauhtémoc,19.41832,-99.15311,Entire home/apt,3111,3,0,,,9,347
36602446,Beautiful 2 Bedroom Apartment in Polanco,227002676,Oasis Collections,,Tláhuac,19.29637,-99.0173,Entire home/apt,2139,3,0,,,9,359
36602924,Modern home with beautiful balcony!!,275129667,Tali & Arlen,,Cuauhtémoc,19.42711,-99.15543,Entire home/apt,1206,2,8,2019-09-17,4.00,1,82
36603616,"MODERN  LOFT, very well located with roof top!",241327887,Kristofer,,Benito Juárez,19.3877,-99.18117,Entire home/apt,895,1,6,2019-09-21,2.73,3,342
36603809,San Ángel Cozy apartment 2parking/2BR/2BA,122920296,PM Host,,Álvaro Obregón,19.34269,-99.1905,Entire home/apt,817,2,9,2019-09-20,5.74,10,339
36604011,Perfect Loft great Location,91265490,HOMi,,Miguel Hidalgo,19.40071,-99.17652,Entire home/apt,778,1,3,2019-09-04,1.20,47,363
36604351,Perfect Loft great Location,91265490,HOMi,,Miguel Hidalgo,19.40104,-99.17689,Entire home/apt,758,1,20,2019-09-14,8.00,47,361
36604584,Perfect Loft great Location,91265490,HOMi,,Miguel Hidalgo,19.40078,-99.17631,Entire home/apt,642,1,3,2019-09-07,2.81,47,361
36605906,“Viva Coyoacán “ el placer de lo tradicional.,271103557,Rosario,,Coyoacán,19.34556,-99.16201,Entire home/apt,1945,2,2,2019-09-03,1.02,2,9
36606061,"MÁS CERCA Y MAS BONITO IMPOSIBLE, ACABADOS DE LUJO",259018599,MaruKaps,,Benito Juárez,19.38861,-99.16922,Private room,408,2,0,,,1,365
36606264,Lindo apartamento,271596547,Edmundo,,Azcapotzalco,19.46326,-99.17313,Entire home/apt,603,1,11,2019-09-15,5.00,1,46
36608522,Renta departamento en colonia del valle,264094203,Abraham,,Benito Juárez,19.38155,-99.16605,Entire home/apt,26000,365,0,,,1,365
36609225,"Amplio departamento Nápoles, WTC",178040429,Remedios,,Benito Juárez,19.38792,-99.18072,Entire home/apt,1342,1,0,,,45,266
36611625,Modern Loft in the Heart of Roma Norte.,22698330,Daniel,,Cuauhtémoc,19.4206,-99.16709,Entire home/apt,2431,2,2,2019-09-15,2,1,312
36622350,Perfect Loft great Location,91265490,HOMi,,Miguel Hidalgo,19.39952,-99.17683,Entire home/apt,758,1,15,2019-09-20,7.38,47,365
36624037,"Condesa, Cozy & Comfy place",275271911,Claudia,,Cuauhtémoc,19.41013,-99.1746,Entire home/apt,992,1,7,2019-09-17,2.96,3,96
36624179,Casa con Jardín para damas.,261633472,Rodrigo,,Benito Juárez,19.3677,-99.14616,Entire home/apt,525,1,0,,,2,88
36626307,Bienvenido a casa hermano,207242226,Mavi,,Iztapalapa,19.38076,-99.11164,Private room,253,1,0,,,1,361
36628442,Nice & Comfortable room near Masaryk,42943092,Néstor,,Miguel Hidalgo,19.43398,-99.20116,Private room,700,1,12,2019-09-22,5.71,15,325
36629500,Amazing and spacious  Room in la Condesa.,24810079,Cecilia,,Cuauhtémoc,19.40634,-99.17247,Private room,603,1,0,,,3,309
36629518,"Ideal para médicos, a 3 min de Hospital La Raza",225495740,Ilcely,,Cuauhtémoc,19.46363,-99.15781,Private room,408,1,0,,,3,365
36631275,"Habitación cómoda, a tan sólo 2 cuadras de Reforma",92877246,Kenya,,Cuauhtémoc,19.43498,-99.15959,Private room,350,1,8,2019-09-08,3.58,2,90
36632421,Chez Diego,275335995,William,,Cuauhtémoc,19.41763,-99.15568,Entire home/apt,1147,1,1,2019-07-21,0.45,1,232
36632720,"Acogedor cuarto, a tan sólo 2 cuadras de Reforma",92877246,Kenya,,Cuauhtémoc,19.43338,-99.15945,Private room,350,1,6,2019-08-18,2.69,2,33
36632765,TERRAZA ÚNICA EN LA SAN RAFAEL,179800202,BnButler,,Cuauhtémoc,19.43802,-99.16106,Entire home/apt,1245,2,1,2019-07-27,0.50,13,346
36633514,Beautiful Double Suite perfect Location (A),91265490,HOMi,,Cuauhtémoc,19.43444,-99.16932,Entire home/apt,1089,1,21,2019-09-11,8.87,47,358
36634037,Centric room in the heart of Mexico City,256444224,Jeanette,,Miguel Hidalgo,19.43448,-99.17151,Private room,428,1,0,,,1,179
36636645,Beautiful Apartment with Terrace Near Roma!!!,236590760,Euzmilly,,Cuauhtémoc,19.42507,-99.15228,Entire home/apt,1167,7,1,2019-07-29,0.52,6,0
36637032,"Roma, Condesa, WTC, excelente ubicación.",13506358,Eduardo,,Cuauhtémoc,19.4053,-99.16105,Entire home/apt,895,4,1,2019-08-11,0.67,4,125
36637986,Habitación doble en la Roma,1983535,Matthieu,,Cuauhtémoc,19.40868,-99.1613,Private room,253,10,0,,,1,89
36640063,Huge apartment in Condesa heart,260241560,Easy Rentals,,Cuauhtémoc,19.41324,-99.16691,Entire home/apt,2509,1,0,,,2,365
36641163,La casa de crystal,272183106,Kevin,,Cuauhtémoc,19.42462,-99.153,Private room,467,1,1,2019-08-03,0.57,2,67
36641276,U-Co Roma (Private Room),51921637,Marco,,Cuauhtémoc,19.42305,-99.16176,Hotel room,778,2,2,2019-09-15,2,7,171
36641593,Beautiful Flat with terrace,91265490,HOMi,,Cuauhtémoc,19.43284,-99.16945,Entire home/apt,1089,1,12,2019-09-17,5.29,47,365
36641602,Sofá cama a 10 minutos del Zócalo.,15536968,Susana,,Cuauhtémoc,19.44005,-99.1505,Shared room,253,1,1,2019-08-31,1,1,165
36641695,Cuarto en Polanco cerca de Hospital Español VM3,4647678,Rafa,,Miguel Hidalgo,19.43735,-99.21165,Private room,603,1,7,2019-09-17,2.88,27,348
36642173,"Nuevo Estudio/departamento, Centro Histórico",108582490,Mario,,Cuauhtémoc,19.43321,-99.14322,Entire home/apt,992,1,8,2019-09-10,3.64,1,352
36642795,Cuarto en Polanco cerca de Hospital Militar VM4,4647678,Rafa,,Miguel Hidalgo,19.43641,-99.20989,Private room,447,1,11,2019-09-02,4.52,27,353
36643469,Habitación en Polanco cerca Centro Citibanamex VM5,4647678,Rafa,,Miguel Hidalgo,19.43646,-99.21118,Private room,603,1,11,2019-09-23,4.46,27,337
36644112,Amazing room in Polanco near Antara - Carso P5,4647678,Rafa,,Miguel Hidalgo,19.43594,-99.20298,Private room,603,1,6,2019-09-22,2.47,27,355
36644993,Departamento centrico,172899250,Fernanda,,Cuauhtémoc,19.42728,-99.13625,Entire home/apt,1206,2,0,,,1,180
36657170,La Condesa Departamento de Epoca muy Vintage,275271911,Claudia,,Cuauhtémoc,19.40904,-99.17159,Entire home/apt,992,1,5,2019-09-14,2.21,3,96
36663730,Great location for tourists! Private room.,62587582,Karla,,Cuauhtémoc,19.4316,-99.13817,Private room,428,2,2,2019-09-16,2,4,179
36663815,Camargo 1,31540218,Roy,,Cuauhtémoc,19.4072,-99.17513,Entire home/apt,506,1,1,2019-07-31,0.54,3,0
36665208,SENCILLO Y CON BUENA UBICACIÓN,245355174,Julio Alberto,,Cuauhtémoc,19.45394,-99.14135,Private room,272,3,1,2019-09-01,1,1,52
36666070,Perfect Loft great Location,91265490,HOMi,,Miguel Hidalgo,19.39918,-99.17479,Entire home/apt,642,1,25,2019-09-16,11.19,47,342
36666581,Perfect Loft great Location,91265490,HOMi,,Miguel Hidalgo,19.40048,-99.17668,Entire home/apt,758,1,15,2019-09-19,6.52,47,360
36668145,Peaceful room in Escandon,141068386,Viviana,,Miguel Hidalgo,19.40289,-99.17465,Private room,292,1,3,2019-09-06,2.57,2,358
36668508,El rincón de Xochimilco,251978947,Paty,,Xochimilco,19.25909,-99.1057,Entire home/apt,447,1,4,2019-08-08,1.82,1,347
36669626,LIVE THE CITY CENTER AS A LOCAL!!!,46682221,Patricio,,Cuauhtémoc,19.42875,-99.15143,Entire home/apt,1264,2,1,2019-09-18,1,4,69
36670454,Welcome Home / Bienvenido a Casa,265940352,Rafaga,,Cuauhtémoc,19.40674,-99.1637,Private room,19991,1,0,,,1,365
36671309,"Apartamento excelente zona, totalmente amueblado.",246453043,Yosely,,Benito Juárez,19.39102,-99.14917,Entire home/apt,506,1,2,2019-08-30,1.40,1,179
36671659,"Excelente locación para turistear, zona SEGURA",275632131,Patricia,,Álvaro Obregón,19.35387,-99.18222,Private room,544,1,2,2019-07-28,0.85,2,0
36671995,Cuarto privado con baño compartido,4868281,Laura,,Cuauhtémoc,19.41351,-99.17381,Private room,1147,1,1,2019-08-03,0.57,3,33
36673036,Magnífico duplex en Coyoacán,31776464,Álvaro,,Coyoacán,19.35491,-99.15558,Entire home/apt,1458,2,4,2019-09-05,2.31,1,0
36673303,"Suite ""La Corregidora"",  Coyoacán esta de moda",266139667,Josè Antonio,,Coyoacán,19.35812,-99.17028,Private room,856,3,0,,,1,173
36674508,Private room in leafy and buzzing Condesa,13891404,Sara,,Cuauhtémoc,19.41418,-99.17194,Private room,233,1,5,2019-09-18,2.46,1,46
36674734,Private Bedroom with private Bathroom great view,40691143,Israel,,Benito Juárez,19.38242,-99.14589,Entire home/apt,194,2,3,2019-07-29,1.36,3,246
36675373,A charming and comfy room for a perfect stay.,13224403,Patricia,,Cuajimalpa de Morelos,19.38308,-99.25293,Private room,681,1,2,2019-07-22,0.91,3,304
36676028,Pequeño apartamento en avenida principal,108389030,Montserrat,,Iztacalco,19.38599,-99.10071,Private room,272,1,3,2019-09-14,1.41,1,56
36676477,Habitación privada  Quinta Doña Came (ind),266412193,Aida,,Cuajimalpa de Morelos,19.35561,-99.28672,Private room,369,1,1,2019-09-08,1,4,179
36676499,Modern Apartment with a Balcony Near Roma!,236590760,Euzmilly,,Cuauhtémoc,19.42364,-99.15348,Entire home/apt,1167,1,5,2019-08-10,2.11,6,0
36676678,"Bonito, amplio y cómodo departamento",177558172,Omar David,,Gustavo A. Madero,19.50349,-99.12397,Entire home/apt,895,2,6,2019-09-16,4.19,1,357
36677430,CÓMODO DEPARTAMENTO EN COL JUÁREZ - CHAPULTEPEC,177077177,Ignacio,,Cuauhtémoc,19.42272,-99.17085,Entire home/apt,778,7,1,2019-08-31,1,1,73
36684744,Estocolmo Styling Flat,3675629,Pâté,,Miguel Hidalgo,19.45515,-99.21292,Entire home/apt,1167,2,2,2019-09-02,0.97,12,357
36687171,Punta Del Parque Apartment,16290622,Steve,,Álvaro Obregón,19.36396,-99.26641,Entire home/apt,2917,3,1,2019-08-01,0.55,1,210
